id,network_arc_id,short_code,name,description,to_node,entity_type_id,schematic_type_id,hydrologic_region_id,has_gis_data,entity_version_id,source_ids,created_by,updated_by
206,I_TUO054,Tuolumne River below New Don Pedro Dam,,TUO054,3,1,2,1,"{1,3,4}",1,
207,I_TUO105,Tuo105,,TUO105,3,1,1,1,"{1,3,4}",1,
208,I_UBEAR,Upper Bear Reservoir inflow,,UBEAR,3,1,2,1,"{1,3,4}",1,
209,I_UNVLY,Union Valley Reservoir inflow,,UNVLY,3,1,1,1,"{1,3,4}",1,
210,I_WBF006,West Branch Feather River accretions: Miocene Diversion Dam to Yankee Hill,,WBF006,3,1,1,1,"{1,3,4}",1,
211,I_WBF015,West Branch Feather River accretions: Hendricks to Miocene Diversion Dam,,WBF015,3,1,1,1,"{1,3,4}",1,
212,I_WBF030,West Branch Feather River accretion: Round Valley to Hendricks Diversion Dam,,WBF030,3,1,1,1,"{1,3,4}",1,
213,I_WBR001,Weber Creek near Salmon Falls,,WBR001,3,1,1,1,"{1,3,4}",1,
214,I_WKYTN,Whiskeytown Lake inflow,,WKYTN,3,1,1,1,"{1,3,4}",1,
215,I_WLF013,Wolf Creek at Tarr Ditch Diversion Dam,,WLF013,3,1,1,1,"{1,3,4}",1,
