short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_FSC015,FSC,C_FSC015,4.0,Folsom South Canal,,CH,CL,,,2,15559.7802311437,1,4,,,,1,12,True,connected,True
C_LBC010,LBC,C_LBC010,4.0,Lower Boardman Canal,,CH,CL,,,1,32230.1093711634,1,4,,,,1,12,True,connected,True
C_BEC000,BEC,C_BEC000,4.0,Bear River Canal,,CH,CL,,,1,34240.4166642802,1,4,,,,1,12,True,connected,True
D_ABN024_24_NA1,ABN,D_ABN024_24_NA1,11.0,Auburn Ravine Canal,,D,CL,,,1,5422.98815351026,1,4,,,,1,12,True,connected,True
R_24_NA1_CCK022,,R_24_NA1_CCK022,19.0,Doty Ravine North Canal,,RT,CL,,,1,22178.2588548336,1,4,,,,1,12,True,connected,True
C_BEC022,BEC,C_BEC022,4.0,Halsey PH Penstock,,CH,CL,,,1,2064.26734890472,1,4,,,,1,12,True,connected,True
D_CBD001_KLR005,KLR,D_CBD001_KLR005,10.0,Knights Landing Ridgecut,,D,,,,1,8046.71997816544,1,4,,,,1,12,True,connected,True
C_JBC000,JBC,C_JBC000,4.0,Joint Board Canal,,CH,CL,,,1,2913.46159233012,1,4,,,,1,12,True,connected,True
D_WSE004_24_NA1,,D_WSE004_24_NA1,10.0,,,D,,,,1,11020.3038425311,1,4,,,,1,12,True,connected,True
DA_OMR_OMR027,,DA_OMR_OMR027,,,,DA,,,,2,7500.00002904182,1,4,,,,1,12,True,connected,True
DA_MOK_MOK004,,DA_MOK_MOK004,,,,DA,,,,2,7500.00002904058,1,4,,,,1,12,True,connected,True
D_MIO023_10_NA,,D_MIO023_10_NA,10.0,,,D,,,,1,12009.7174999993,1,4,,,,1,12,True,connected,True
C_CWD018,CWD,C_CWD018,8.0,Cottonwood Creek,,CH,ST,,,1,15281.3090210561,1,4,,,,1,12,True,connected,True
C_BEC024,BEC,C_BEC024,4.0,Wise Canal,,CH,CL,,,1,4828.09070126,1,4,,,,1,12,True,connected,True
C_WSE003,WSE,C_WSE003,4.0,Wise Canal,,CH,CL,,,1,1191.83652941352,1,4,,,,1,12,True,connected,True
D_WBF015_MIO023,,D_WBF015_MIO023,11.0,Upper Miocene Canal,,D,CL,,,1,36634.3171393632,1,4,,,,1,12,True,connected,True
D_MIO023_12_NU1,MIO,D_MIO023_12_NU1,10.0,Lower Miocene Canal,,D,,,,1,18352.0461321135,1,4,,,,1,12,True,connected,True
C_CRC002,CRC,C_CRC002,4.0,Natomas Cross Canal,,CH,CL,,,1,3871.77545004362,1,4,,,,1,12,True,connected,True
C_COW014,COW,C_COW014,8.0,Cow Creek,,CH,ST,,,1,10524.3072002585,1,4,,,,1,12,True,connected,True
C_COW007,COW,C_COW007,8.0,Cow Creek,,CH,ST,,,1,7178.52189938185,1,4,,,,1,12,True,connected,True
C_COW003,COW,C_COW003,8.0,Cow Creek,,CH,ST,,,1,4828.03199576576,1,4,,,,1,12,True,connected,True
