short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
C_SAC091,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,9152.87796426811,1.0,12,True,2
C_MDC019,3,4.0,5.0,True,True,arc,Madera Canal,CH,CL,21202.5438032863,2.0,12,True,2
R_RFS11_WWC006,3,4.0,5.0,True,True,arc,Snake River,RT,,31549.762503107,1.0,12,True,2
TUO030,3,4.0,5.0,True,True,node,TUO030,CH,STM,,2.0,12,True,2
SR_10_SAC196,3,4.0,5.0,True,True,arc,,SR,,2499.99997840639,1.0,12,True,2
C_SAL006,3,4.0,5.0,True,True,arc,Salt Slough,CH,ST,9384.61347602712,2.0,12,True,2
C_FTR016,3,4.0,5.0,True,True,arc,Feather River,CH,ST,3520.48650535619,1.0,12,True,2
R_71_PA3_WWW001,3,4.0,5.0,True,True,arc,,RT,,3203.67929999903,2.0,12,True,2
I_DSC035,3,4.0,5.0,True,True,arc,,IN,LI,7500.0,2.0,12,True,2
RLLNS,3,4.0,5.0,True,True,node,RLLNS,STR,NSM,,1.0,12,True,2
I_MFA025,3,4.0,5.0,True,True,arc,,IN,LI,7500.00005955262,1.0,12,True,2
BTC036,3,4.0,5.0,True,True,node,BTC036,CH,STM,,1.0,12,True,2
SR_23_CCK007,3,4.0,5.0,True,True,arc,,SR,,2500.0000325259,1.0,12,True,2
C_SAC217,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,5266.21584749546,1.0,12,True,2
FPT013,3,4.0,5.0,True,True,node,FPT013,CH,CNL,,1.0,12,True,2
SJR042,3,4.0,5.0,True,True,node,SJR042,CH,STM,,1.0,12,True,2
SR_63_MCD050,3,4.0,5.0,True,True,arc,,SR,,2500.00004160998,2.0,12,True,2
C_DRM002,3,4.0,5.0,True,True,arc,Drum Canal,CH,CL,483.288107552466,1.0,12,True,2
RVC000,3,4.0,5.0,True,True,node,RVC000,CH,SG,,1.0,12,True,2
MFA026,3,4.0,5.0,True,True,node,MFA026,CH,STM,,1.0,12,True,2
C_OWN011,3,4.0,5.0,True,True,arc,Owens Creek,CH,ST,18237.5758814359,2.0,12,True,2
R_73_PA1_LBN025,3,4.0,5.0,True,True,arc,,RT,,12036.9432572931,2.0,12,True,2
TCC036,3,4.0,5.0,True,True,node,TCC036,CH,CNL,,1.0,12,True,2
I_MFA001,3,4.0,5.0,True,True,arc,,IN,LI,7500.00006173755,1.0,12,True,2
AMR022,3,4.0,5.0,True,True,node,AMR022,CH,SG,,1.0,12,True,2
I_INDVL,3,4.0,5.0,True,True,arc,,IN,LI,7500.00004633114,1.0,12,True,2
BSC010,3,4.0,5.0,True,True,node,BSC010,CH,CNL,,1.0,12,True,2
C_SAC109,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,4346.49830360606,1.0,12,True,2
C_MCD050,3,4.0,5.0,True,True,arc,Merced River,CH,ST,3859.72342951099,2.0,12,True,2
R_24_NU3_CCK038,3,4.0,5.0,True,True,arc,,RT,,1527.60300724805,1.0,12,True,2
