id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
416,C_SPLDG_NCF,Spaulding Normal Release,Normal controlled release from Spaulding (≤ release capacity),74,release_normal,false,,,2,3,1,ca6a2459-d290-4342-b2db-82726f03cad2,"{1,3,4}",1,
417,C_SPLDG_FLOOD,Spaulding Flood Spill,Flood spill from Spaulding (above release capacity),74,release_flood,false,,,2,3,1,36b475e2-879d-4798-9cb9-efdfe9c26102,"{1,3,4}",1,
418,C_STMPY,Stumpy Meadows Total Release,Total release from Stumpy Meadows,75,release_total,false,,,2,3,1,2287c72a-39ef-4465-9480-4e013ac903b1,"{1,3,4}",1,
419,C_STMPY_NCF,Stumpy Meadows Normal Release,Normal controlled release from Stumpy Meadows (≤ release capacity),75,release_normal,false,,,2,3,1,b724f516-392c-461c-94f8-a2dbf2727477,"{1,3,4}",1,
420,C_STMPY_FLOOD,Stumpy Meadows Flood Spill,Flood spill from Stumpy Meadows (above release capacity),75,release_flood,false,,,2,3,1,599abd47-b007-41d5-9c2c-f02d0fd08cf5,"{1,3,4}",1,
421,C_THRMA,Thermalito Afterbay Total Release,Total release from Thermalito Afterbay,76,release_total,false,,,2,3,1,6af5bedd-cf99-4675-bb36-8a681655d32b,"{1,3,4}",1,
422,C_THRMA_NCF,Thermalito Afterbay Normal Release,Normal controlled release from Thermalito Afterbay (≤ release capacity),76,release_normal,false,,,2,3,1,0a07864b-f813-4811-8dd8-bee542055658,"{1,3,4}",1,
423,C_THRMA_FLOOD,Thermalito Afterbay Flood Spill,Flood spill from Thermalito Afterbay (above release capacity),76,release_flood,false,,,2,3,1,719ea689-6bdc-4fbc-bd8e-0f22e8c923e4,"{1,3,4}",1,
424,C_THRMF,Thermalito Forebay Total Release,Total release from Thermalito Forebay,77,release_total,false,,,2,3,1,05d48304-2725-4e03-8404-54665f067ace,"{1,3,4}",1,
425,C_THRMF_NCF,Thermalito Forebay Normal Release,Normal controlled release from Thermalito Forebay (≤ release capacity),77,release_normal,false,,,2,3,1,3ec78e6e-f203-4741-af80-26761d11e91f,"{1,3,4}",1,
426,C_THRMF_FLOOD,Thermalito Forebay Flood Spill,Flood spill from Thermalito Forebay (above release capacity),77,release_flood,false,,,2,3,1,3cb0a7dc-f2f9-4197-9121-f4740fa1f4a1,"{1,3,4}",1,
427,C_TRLCK,Turlock Total Release,Total release from Turlock,78,release_total,false,,,2,3,1,fe44a052-c697-4edf-ad56-b0d370144680,"{1,3,4}",1,
428,C_TRLCK_NCF,Turlock Normal Release,Normal controlled release from Turlock (≤ release capacity),78,release_normal,false,,,2,3,1,cc4b5821-912b-4945-a6ff-a09db47406f9,"{1,3,4}",1,
429,C_TRLCK_FLOOD,Turlock Flood Spill,Flood spill from Turlock (above release capacity),78,release_flood,false,,,2,3,1,f58dc125-3e81-4921-9272-225b72330ee9,"{1,3,4}",1,
430,C_TRNTY,Trinity Total Release,Total release from Trinity,79,release_total,false,,,2,3,1,3fa961ac-7a56-401e-87f8-8d68f3ba0176,"{1,3,4}",1,
431,C_TRNTY_NCF,Trinity Normal Release,Normal controlled release from Trinity (≤ release capacity),79,release_normal,false,,,2,3,1,c039a7af-293f-4ccf-828b-6a26c486dec4,"{1,3,4}",1,
432,C_TRNTY_FLOOD,Trinity Flood Spill,Flood spill from Trinity (above release capacity),79,release_flood,false,,,2,3,1,ac9f3fe5-2022-49ba-90b3-4427aa281a26,"{1,3,4}",1,
433,C_TULOC,Tulloch Total Release,Total release from Tulloch,80,release_total,false,,,2,3,1,9f6db01f-9b8e-481c-9e25-66e9c7be82c3,"{1,3,4}",1,
434,C_TULOC_NCF,Tulloch Normal Release,Normal controlled release from Tulloch (≤ release capacity),80,release_normal,false,,,2,3,1,7bcb390f-be98-42b6-b197-9ad14b25d7eb,"{1,3,4}",1,
435,C_TULOC_FLOOD,Tulloch Flood Spill,Flood spill from Tulloch (above release capacity),80,release_flood,false,,,2,3,1,f28a79a1-04a9-4b56-b1d9-446bdc5a2405,"{1,3,4}",1,
436,C_UBEAR,Upper Bear Total Release,Total release from Upper Bear,81,release_total,false,,,2,3,1,28819af2-f053-4005-8a52-41f0d053b833,"{1,3,4}",1,
